ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
CYKX,YKX,Kirkland Lake,"Kirkland Lake, Ontario",Canada,,,"CYKX/YKX - Kirkland Lake, Kirkland Lake, Ontario(Canada)"
CYKF,YKF,Kitchener/Waterloo Regl,"Kitchener, Ontario",Canada,,,"CYKF/YKF - Kitchener/Waterloo Regl, Kitchener, Ontario(Canada)"
CYCO,YCO,Kugluktuk,"Kugluktuk, Northwest Territories",Canada,,,"CYCO/YCO - Kugluktuk, Kugluktuk, Northwest Territories(Canada)"
CYVP,YVP,Kuujjuaq,"Kuujjuaq, Quebec",Canada,,,"CYVP/YVP - Kuujjuaq, Kuujjuaq, Quebec(Canada)"
CYGW,YGW,Kuujjuarapik,"Kuujjuarapik, Quebec",Canada,,,"CYGW/YGW - Kuujjuarapik, Kuujjuarapik, Quebec(Canada)"
CYGL,YGL,La Grande Riviere,"La Grande Riviere, Quebec",Canada,,,"CYGL/YGL - La Grande Riviere, La Grande Riviere, Quebec(Canada)"
CYVC,YVC,La Ronge,"La Ronge, Saskatchewan",Canada,,,"CYVC/YVC - La Ronge, La Ronge, Saskatchewan(Canada)"
CSR8,SSQ,La Sarre,"La Sarre, Quebec",Canada,,,"CSR8/SSQ - La Sarre, La Sarre, Quebec(Canada)"
CYLQ,YLQ,La Tuque,"La Tuque, Quebec",Canada,,,"CYLQ/YLQ - La Tuque, La Tuque, Quebec(Canada)"
CZWH,XLB,Lac Brochet,"Lac Brochet, Manitoba",Canada,,,"CZWH/XLB - Lac Brochet, Lac Brochet, Manitoba(Canada)"
CYLB,YLB,Lac La Biche,"Lac La Biche, Alberta",Canada,,,"CYLB/YLB - Lac La Biche, Lac La Biche, Alberta(Canada)"
CEM3,YLE,Wha Ti,"Lac La Martre, Northwest Territories",Canada,,,"CEM3/YLE - Wha Ti, Lac La Martre, Northwest Territories(Canada)"
CYLH,YLH,Lansdowne House,"Lansdowne House, Ontario",Canada,,,"CYLH/YLH - Lansdowne House, Lansdowne House, Ontario(Canada)"
CYLR,YLR,Leaf Rapids,"Leaf Rapids, Manitoba",Canada,,,"CYLR/YLR - Leaf Rapids, Leaf Rapids, Manitoba(Canada)"
CSH4,YLS,Lebel-Sur-Quevillon,"Lebel-Sur-Quevillon, Quebec",Canada,,,"CSH4/YLS - Lebel-Sur-Quevillon, Lebel-Sur-Quevillon, Quebec(Canada)"
CYQL,YQL,Lethbridge,"Lethbridge, Alberta",Canada,,,"CYQL/YQL - Lethbridge, Lethbridge, Alberta(Canada)"
CZGR,ZGR,Little Grand Rapids,"Little Grand Rapids, Manitoba",Canada,,,"CZGR/ZGR - Little Grand Rapids, Little Grand Rapids, Manitoba(Canada)"
CYLL,YLL,Lloydminster,"Lloydminster, Alberta",Canada,,,"CYLL/YLL - Lloydminster, Lloydminster, Alberta(Canada)"
CYXU,YXU,London,"London, Ontario",Canada,,,"CYXU/YXU - London, London, Ontario(Canada)"
CYYL,YYL,Lynn Lake,"Lynn Lake, Manitoba",Canada,,,"CYYL/YYL - Lynn Lake, Lynn Lake, Manitoba(Canada)"
CFC4,XMP,Macmillan Pass,"Macmillan Pass, Yukon Territory",Canada,,,"CFC4/XMP - Macmillan Pass, Macmillan Pass, Yukon Territory(Canada)"
CYFT,YMN,Makkovik,"Makkovik, Newfoundland",Canada,,,"CYFT/YMN - Makkovik, Makkovik, Newfoundland(Canada)"
CYMG,YMG,Manitouwadge,"Manitouwadge, Ontario",Canada,,,"CYMG/YMG - Manitouwadge, Manitouwadge, Ontario(Canada)"
CYEM,YEM,Manitoulin East Muni.,"Manitowaning, Ontario",Canada,,,"CYEM/YEM - Manitoulin East Muni., Manitowaning, Ontario(Canada)"
CYMW,YMW,Maniwaki,"Maniwaki, Quebec",Canada,,,"CYMW/YMW - Maniwaki, Maniwaki, Quebec(Canada)"
CYSP,YSP,Marathon,"Marathon, Ontario",Canada,,,"CYSP/YSP - Marathon, Marathon, Ontario(Canada)"
CYMH,YMH,Marys Harbour,"Marys Harbour, Newfoundland",Canada,,,"CYMH/YMH - Marys Harbour, Marys Harbour, Newfoundland(Canada)"
CZMT,ZMT,Masset,"Masset, British Columbia",Canada,,,"CZMT/ZMT - Masset, Masset, British Columbia(Canada)"
CYNM,YNM,Matagami,"Matagami, Quebec",Canada,,,"CYNM/YNM - Matagami, Matagami, Quebec(Canada)"
CYME,YME,Matane,"Matane, Quebec",Canada,,,"CYME/YME - Matane, Matane, Quebec(Canada)"
CYMA,YMA,Mayo,"Mayo, Yukon Territory",Canada,,,"CYMA/YMA - Mayo, Mayo, Yukon Territory(Canada)"
CYLJ,YLJ,Meadow Lake,"Meadow Lake, Saskatchewan",Canada,,,"CYLJ/YLJ - Meadow Lake, Meadow Lake, Saskatchewan(Canada)"
CYXH,YXH,Medicine Hat,"Medicine Hat, Alberta",Canada,,,"CYXH/YXH - Medicine Hat, Medicine Hat, Alberta(Canada)"
CAD5,YMB,Merritt,"Merritt, British Columbia",Canada,,,"CAD5/YMB - Merritt, Merritt, British Columbia(Canada)"
CYCH,YCH,Miramichi,"Miramichi, New Brunswick",Canada,,,"CYCH/YCH - Miramichi, Miramichi, New Brunswick(Canada)"
CYQM,YQM,Moncton,"Moncton, New Brunswick",Canada,,,"CYQM/YQM - Moncton, Moncton, New Brunswick(Canada)"
CYYY,YYY,Mont-Joli,"Mont-Joli, Quebec",Canada,,,"CYYY/YYY - Mont-Joli, Mont-Joli, Quebec(Canada)"
CYMX,YMX,Montreal Intl (Mirabel),"Montreal, Quebec",Canada,,,"CYMX/YMX - Montreal Intl (Mirabel), Montreal, Quebec(Canada)"
CYUL,YUL,Montreal Intl (Dorval),"Montreal, Quebec",Canada,,,"CYUL/YUL - Montreal Intl (Dorval), Montreal, Quebec(Canada)"
CYMJ,YMJ,Moose Jaw,"Moose Jaw, Saskatchewan",Canada,,,"CYMJ/YMJ - Moose Jaw, Moose Jaw, Saskatchewan(Canada)"
CYMO,YMO,Moosonee,"Moosonee, Ontario",Canada,,,"CYMO/YMO - Moosonee, Moosonee, Ontario(Canada)"
CYQA,YQA,Muskoka,"Muskoka Lakes, Ontario",Canada,,,"CYQA/YQA - Muskoka, Muskoka Lakes, Ontario(Canada)"
CZMD,MSA,Muskrat Dam,"Muskrat Dam, Ontario",Canada,,,"CZMD/MSA - Muskrat Dam, Muskrat Dam, Ontario(Canada)"
CYDP,YDP,Nain,"Nain, Newfoundland",Canada,,,"CYDP/YDP - Nain, Nain, Newfoundland(Canada)"
CYQN,YQN,Nakina,"Nakina, Ontario",Canada,,,"CYQN/YQN - Nakina, Nakina, Ontario(Canada)"
CYCD,YCD,Nanaimo,"Nanaimo, British Columbia",Canada,,,"CYCD/YCD - Nanaimo, Nanaimo, British Columbia(Canada)"
CYSR,YSR,Nanisivik,"Nanisivik, Northwest Territories",Canada,,,"CYSR/YSR - Nanisivik, Nanisivik, Northwest Territories(Canada)"
CYNA,YNA,Natashquan,"Natashquan, Quebec",Canada,,,"CYNA/YNA - Natashquan, Natashquan, Quebec(Canada)"
CYHH,YNS,Nemiscau,"Nemiscau, Quebec",Canada,,,"CYHH/YNS - Nemiscau, Nemiscau, Quebec(Canada)"
CYVQ,YVQ,Norman Wells,"Norman Wells, Northwest Territories",Canada,,,"CYVQ/YVQ - Norman Wells, Norman Wells, Northwest Territories(Canada)"
CYQW,YQW,North Battleford,"North Battleford, Saskatchewan",Canada,,,"CYQW/YQW - North Battleford, North Battleford, Saskatchewan(Canada)"
CYYB,YYB,North Bay,"North Bay, Ontario",Canada,,,"CYYB/YYB - North Bay, North Bay, Ontario(Canada)"
CYNE,YNE,Norway House,"Norway House, Manitoba",Canada,,,"CYNE/YNE - Norway House, Norway House, Manitoba(Canada)"
CNT3,YOG,Ogoki Post,"Ogoki Post, Ontario",Canada,,,"CNT3/YOG - Ogoki Post, Ogoki Post, Ontario(Canada)"
CYOC,YOC,Old Crow,"Old Crow, Yukon Territory",Canada,,,"CYOC/YOC - Old Crow, Old Crow, Yukon Territory(Canada)"
CYOO,YOO,Oshawa,"Oshawa, Ontario",Canada,,,"CYOO/YOO - Oshawa, Oshawa, Ontario(Canada)"
CYRO,YRO,Rockcliffe,"Ottawa, Ontario",Canada,,,"CYRO/YRO - Rockcliffe, Ottawa, Ontario(Canada)"
CYOW,YOW,Ottawa - Macdonald-Cartier Intl,"Ottawa, Ontario",Canada,,,"CYOW/YOW - Ottawa - Macdonald-Cartier Intl, Ottawa, Ontario(Canada)"
CYOS,YOS,Billy Bishop Reg'l,"Owen Sound, Ontario",Canada,,,"CYOS/YOS - Billy Bishop Reg'l, Owen Sound, Ontario(Canada)"
CYOH,YOH,Oxford House,"Oxford House, Manitoba",Canada,,,"CYOH/YOH - Oxford House, Oxford House, Manitoba(Canada)"
CYXP,YXP,Pangnirtung,"Pangnirtung, Northwest Territories",Canada,,,"CYXP/YXP - Pangnirtung, Pangnirtung, Northwest Territories(Canada)"
CNK4,YPD,Georgian Bay,"Parry Sound, Ontario",Canada,,,"CNK4/YPD - Georgian Bay, Parry Sound, Ontario(Canada)"
CYPC,YPC,Paulatuk,"Paulatuk, Northwest Territories",Canada,,,"CYPC/YPC - Paulatuk, Paulatuk, Northwest Territories(Canada)"
CYPE,YPE,Peace River,"Peace River, Alberta",Canada,,,"CYPE/YPE - Peace River, Peace River, Alberta(Canada)"
CYPO,YPO,Peawanuck,"Peawanuck, Ontario",Canada,,,"CYPO/YPO - Peawanuck, Peawanuck, Ontario(Canada)"
CYBB,YBB,Pelly Bay (Town Site),"Pelly Bay, Northwest Territories",Canada,,,"CYBB/YBB - Pelly Bay (Town Site), Pelly Bay, Northwest Territories(Canada)"
CYTA,YTA,Pembroke,"Pembroke, Ontario",Canada,,,"CYTA/YTA - Pembroke, Pembroke, Ontario(Canada)"
CYYF,YYF,Penticton,"Penticton, British Columbia",Canada,,,"CYYF/YYF - Penticton, Penticton, British Columbia(Canada)"
CYWA,YWA,Petawawa,"Petawawa, Ontario",Canada,,,"CYWA/YWA - Petawawa, Petawawa, Ontario(Canada)"
CYPQ,YPQ,Peterborough,"Peterborough, Ontario",Canada,,,"CYPQ/YPQ - Peterborough, Peterborough, Ontario(Canada)"
CYPL,YPL,Pickle Lake,"Pickle Lake, Ontario",Canada,,,"CYPL/YPL - Pickle Lake, Pickle Lake, Ontario(Canada)"
CYPM,YPM,Pikangikum,"Pikangikum, Ontario",Canada,,,"CYPM/YPM - Pikangikum, Pikangikum, Ontario(Canada)"
CZMN,PIW,Pikwitonei,"Pikwitonei, Manitoba",Canada,,,"CZMN/PIW - Pikwitonei, Pikwitonei, Manitoba(Canada)"
CZPC,WPC,Pincher Creek,"Pincher Creek, Alberta",Canada,,,"CZPC/WPC - Pincher Creek, Pincher Creek, Alberta(Canada)"
CZPO,ZPO,Pinehouse Lake,"Pinehouse Lake, Saskatchewan",Canada,,,"CZPO/ZPO - Pinehouse Lake, Pinehouse Lake, Saskatchewan(Canada)"
CYNL,YNL,Points North Landing,"Points North Landing, Saskatchewan",Canada,,,"CYNL/YNL - Points North Landing, Points North Landing, Saskatchewan(Canada)"
CYIO,YIO,Pond Inlet,"Pond Inlet, Northwest Territories",Canada,,,"CYIO/YIO - Pond Inlet, Pond Inlet, Northwest Territories(Canada)"
CZNG,XPP,Poplar River,"Poplar River, Manitoba",Canada,,,"CZNG/XPP - Poplar River, Poplar River, Manitoba(Canada)"
CYZT,YZT,Port Hardy,"Port Hardy, British Columbia",Canada,,,"CYZT/YZT - Port Hardy, Port Hardy, British Columbia(Canada)"
CYPD,YPS,Port Hawkesbury,"Port Hawkesbury, Nova Scotia",Canada,,,"CYPD/YPS - Port Hawkesbury, Port Hawkesbury, Nova Scotia(Canada)"
CCP4,YHA,Port Hope Simpson,"Port Hope Simpson, Newfoundland",Canada,,,"CCP4/YHA - Port Hope Simpson, Port Hope Simpson, Newfoundland(Canada)"
CAT5,YMP,Port Mc Neill,"Port Mc Neill, British Columbia",Canada,,,"CAT5/YMP - Port Mc Neill, Port Mc Neill, British Columbia(Canada)"
CYPN,YPN,Port Menier,"Port Menier, Quebec",Canada,,,"CYPN/YPN - Port Menier, Port Menier, Quebec(Canada)"
CYPG,YPG,Southport,"Portage La Prairie, Manitoba",Canada,,,"CYPG/YPG - Southport, Portage La Prairie, Manitoba(Canada)"
CCD4,YSO,Postville,"Postville, Newfoundland",Canada,,,"CCD4/YSO - Postville, Postville, Newfoundland(Canada)"
CYPW,YPW,Powell River,"Powell River, British Columbia",Canada,,,"CYPW/YPW - Powell River, Powell River, British Columbia(Canada)"
CYPA,YPA,Prince Albert,"Prince Albert, Saskatchewan",Canada,,,"CYPA/YPA - Prince Albert, Prince Albert, Saskatchewan(Canada)"
CYXS,YXS,Prince George,"Prince George, British Columbia",Canada,,,"CYXS/YXS - Prince George, Prince George, British Columbia(Canada)"
CYPR,YPR,Prince Rupert,"Prince Rupert, British Columbia",Canada,,,"CYPR/YPR - Prince Rupert, Prince Rupert, British Columbia(Canada)"
CZFG,XPK,Pukatawagan,"Pukatawagan, Manitoba",Canada,,,"CZFG/XPK - Pukatawagan, Pukatawagan, Manitoba(Canada)"
CYPX,YPX,Puvirnituq,"Puvirnituq, Quebec",Canada,,,"CYPX/YPX - Puvirnituq, Puvirnituq, Quebec(Canada)"
CYVM,YVM,Qikiqtarjuaq,"Qikiqtarjuaq, Northwest Territories",Canada,,,"CYVM/YVM - Qikiqtarjuaq, Qikiqtarjuaq, Northwest Territories(Canada)"
CYHA,YQC,Quaqtaq,"Quaqtaq, Quebec",Canada,,,"CYHA/YQC - Quaqtaq, Quaqtaq, Quebec(Canada)"
CYQB,YQB,Quebec - Jean Lesage Intl Airport,"Quebec, Quebec",Canada,,,"CYQB/YQB - Quebec - Jean Lesage Intl Airport, Quebec, Quebec(Canada)"
CYQZ,YQZ,Quesnel,"Quesnel, British Columbia",Canada,,,"CYQZ/YQZ - Quesnel, Quesnel, British Columbia(Canada)"
CEV4,YRA,Rae Lakes,"Rae Lakes, Northwest Territories",Canada,,,"CEV4/YRA - Rae Lakes, Rae Lakes, Northwest Territories(Canada)"
CYOP,YOP,Rainbow Lake,"Rainbow Lake, Alberta",Canada,,,"CYOP/YOP - Rainbow Lake, Rainbow Lake, Alberta(Canada)"
CYRT,YRT,Rankin Inlet,"Rankin Inlet, Northwest Territories",Canada,,,"CYRT/YRT - Rankin Inlet, Rankin Inlet, Northwest Territories(Canada)"
CYQF,YQF,Red Deer Industrial,"Red Deer, Alberta",Canada,,,"CYQF/YQF - Red Deer Industrial, Red Deer, Alberta(Canada)"
CYRL,YRL,Red Lake,"Red Lake, Ontario",Canada,,,"CYRL/YRL - Red Lake, Red Lake, Ontario(Canada)"
CYRS,YRS,Red Sucker Lake,"Red Sucker Lake, Manitoba",Canada,,,"CYRS/YRS - Red Sucker Lake, Red Sucker Lake, Manitoba(Canada)"
CYQR,YQR,Regina,"Regina, Saskatchewan",Canada,,,"CYQR/YQR - Regina, Regina, Saskatchewan(Canada)"
CYUT,YUT,Repulse Bay,"Repulse Bay, Northwest Territories",Canada,,,"CYUT/YUT - Repulse Bay, Repulse Bay, Northwest Territories(Canada)"
CYRB,YRB,Resolute Bay,"Resolute Bay, Northwest Territories",Canada,,,"CYRB/YRB - Resolute Bay, Resolute Bay, Northwest Territories(Canada)"
CYRV,YRV,Revelstoke,"Revelstoke, British Columbia",Canada,,,"CYRV/YRV - Revelstoke, Revelstoke, British Columbia(Canada)"
CCZ2,YRG,Rigolet,"Rigolet, Newfoundland",Canada,,,"CCZ2/YRG - Rigolet, Rigolet, Newfoundland(Canada)"
CYXK,YXK,Rimouski,"Rimouski, Quebec",Canada,,,"CYXK/YXK - Rimouski, Rimouski, Quebec(Canada)"
CYRI,YRI,Riviere-Du-Loup,"Riviere-Du-Loup, Quebec",Canada,,,"CYRI/YRI - Riviere-Du-Loup, Riviere-Du-Loup, Quebec(Canada)"
CYRJ,YRJ,Roberval,"Roberval, Quebec",Canada,,,"CYRJ/YRJ - Roberval, Roberval, Quebec(Canada)"
CYRM,YRM,Rocky Mountain House,"Rocky Mountain House, Alberta",Canada,,,"CYRM/YRM - Rocky Mountain House, Rocky Mountain House, Alberta(Canada)"
CYDM,XRR,Ross River,"Ross River, Yukon Territory",Canada,,,"CYDM/XRR - Ross River, Ross River, Yukon Territory(Canada)"
CZRJ,ZRJ,Weagamow Lake,"Round Lake, Ontario",Canada,,,"CZRJ/ZRJ - Weagamow Lake, Round Lake, Ontario(Canada)"
CYUY,YUY,Rouyn-Noranda,"Rouyn, Quebec",Canada,,,"CYUY/YUY - Rouyn-Noranda, Rouyn, Quebec(Canada)"
CZPB,ZPB,Sachigo Lake,"Sachigo Lake, Ontario",Canada,,,"CZPB/ZPB - Sachigo Lake, Sachigo Lake, Ontario(Canada)"
CYSY,YSY,Sachs Harbour,"Sachs Harbour, Northwest Territories",Canada,,,"CYSY/YSY - Sachs Harbour, Sachs Harbour, Northwest Territories(Canada)"
CYSJ,YSJ,Saint John,"Saint John, New Brunswick",Canada,,,"CYSJ/YSJ - Saint John, Saint John, New Brunswick(Canada)"
CYZG,YZG,Salluit,"Salluit, Quebec",Canada,,,"CYZG/YZG - Salluit, Salluit, Quebec(Canada)"
CZAM,YSN,Salmon Arm,"Salmon Arm, British Columbia",Canada,,,"CZAM/YSN - Salmon Arm, Salmon Arm, British Columbia(Canada)"
CYZP,YZP,Sandspit,"Sandspit, British Columbia",Canada,,,"CYZP/YZP - Sandspit, Sandspit, British Columbia(Canada)"
CZSJ,ZSJ,Sandy Lake,"Sandy Lake, Ontario",Canada,,,"CZSJ/ZSJ - Sandy Lake, Sandy Lake, Ontario(Canada)"
CYSK,YSK,Sanikiluaq,"Sanikiluaq, Northwest Territories",Canada,,,"CYSK/YSK - Sanikiluaq, Sanikiluaq, Northwest Territories(Canada)"
CYZR,YZR,Sarnia (Hadfield),"Sarnia, Ontario",Canada,,,"CYZR/YZR - Sarnia (Hadfield), Sarnia, Ontario(Canada)"
CYXE,YXE,Saskatoon/Diefenbaker,"Saskatoon, Saskatchewan",Canada,,,"CYXE/YXE - Saskatoon/Diefenbaker, Saskatoon, Saskatchewan(Canada)"
CYAM,YAM,Sault Ste Marie,"Sault Ste Marie, Ontario",Canada,,,"CYAM/YAM - Sault Ste Marie, Sault Ste Marie, Ontario(Canada)"
CYKL,YKL,Schefferville,"Schefferville, Quebec",Canada,,,"CYKL/YKL - Schefferville, Schefferville, Quebec(Canada)"
CAP3,YHS,Sechelt-Gibsons,"Sechelt-Gibsons, British Columbia",Canada,,,"CAP3/YHS - Sechelt-Gibsons, Sechelt-Gibsons, British Columbia(Canada)"
CYZV,YZV,Sept-Iles,"Sept-Iles, Quebec",Canada,,,"CYZV/YZV - Sept-Iles, Sept-Iles, Quebec(Canada)"
CZTM,ZTM,Shamattawa,"Shamattawa, Manitoba",Canada,,,"CZTM/ZTM - Shamattawa, Shamattawa, Manitoba(Canada)"
CYSC,YSC,Sherbrooke,"Sherbrooke, Quebec",Canada,,,"CYSC/YSC - Sherbrooke, Sherbrooke, Quebec(Canada)"
CYXL,YXL,Sioux Lookout,"Sioux Lookout, Ontario",Canada,,,"CYXL/YXL - Sioux Lookout, Sioux Lookout, Ontario(Canada)"
CYZH,YZH,Slave Lake,"Slave Lake, Alberta",Canada,,,"CYZH/YZH - Slave Lake, Slave Lake, Alberta(Canada)"
CYYD,YYD,Smithers,"Smithers, British Columbia",Canada,,,"CYYD/YYD - Smithers, Smithers, British Columbia(Canada)"
CYSH,YSH,Montague,"Smiths Falls, Ontario",Canada,,,"CYSH/YSH - Montague, Smiths Falls, Ontario(Canada)"
CZSN,XSI,South Indian Lake,"South Indian Lake, Manitoba",Canada,,,"CZSN/XSI - South Indian Lake, South Indian Lake, Manitoba(Canada)"
CYSE,YSE,Squamish,"Squamish, British Columbia",Canada,,,"CYSE/YSE - Squamish, Squamish, British Columbia(Canada)"
CYAY,YAY,St Anthony,"St Anthony, Newfoundland",Canada,,,"CYAY/YAY - St Anthony, St Anthony, Newfoundland(Canada)"
CYSN,YCM,St Catharines/Niagra District,"St Catharines, Ontario",Canada,,,"CYSN/YCM - St Catharines/Niagra District, St Catharines, Ontario(Canada)"
CYYT,YYT,St John's Intl,"St John's, Newfoundland",Canada,,,"CYYT/YYT - St John's Intl, St John's, Newfoundland(Canada)"
CCK4,YFX,Fox Harbour,"St Lewis, Newfoundland",Canada,,,"CCK4/YFX - Fox Harbour, St Lewis, Newfoundland(Canada)"
CYST,YST,St Theresa Point,"St Theresa Point, Manitoba",Canada,,,"CYST/YST - St Theresa Point, St Theresa Point, Manitoba(Canada)"
CYQS,YQS,St Thomas Mun,"St Thomas, Ontario",Canada,,,"CYQS/YQS - St Thomas Mun, St Thomas, Ontario(Canada)"
CYIF,YIF,St-Augustin,"St-Augustin, Quebec",Canada,,,"CYIF/YIF - St-Augustin, St-Augustin, Quebec(Canada)"
CYHU,YHU,Montreal - St-Hubert,"St-Hubert, Quebec",Canada,,,"CYHU/YHU - Montreal - St-Hubert, St-Hubert, Quebec(Canada)"
CYJN,YJN,St-Jean,"St-Jean, Quebec",Canada,,,"CYJN/YJN - St-Jean, St-Jean, Quebec(Canada)"
CYSL,YSL,St-Leonard,"St-Leonard, New Brunswick",Canada,,,"CYSL/YSL - St-Leonard, St-Leonard, New Brunswick(Canada)"
CYJT,YJT,Stephenville,"Stephenville, Newfoundland",Canada,,,"CYJT/YJT - Stephenville, Stephenville, Newfoundland(Canada)"
CZST,ZST,Stewart,"Stewart, British Columbia",Canada,,,"CZST/ZST - Stewart, Stewart, British Columbia(Canada)"
CYSF,YSF,Stony Rapids,"Stony Rapids, Saskatchewan",Canada,,,"CYSF/YSF - Stony Rapids, Stony Rapids, Saskatchewan(Canada)"
CYSB,YSB,Sudbury,"Sudbury, Ontario",Canada,,,"CYSB/YSB - Sudbury, Sudbury, Ontario(Canada)"
CYSD,YSD,Suffield,"Suffield, Alberta",Canada,,,"CYSD/YSD - Suffield, Suffield, Alberta(Canada)"
CJV7,SUR,Summer Beaver,"Summer Beaver, Ontario",Canada,,,"CJV7/SUR - Summer Beaver, Summer Beaver, Ontario(Canada)"
CYSU,YSU,Summerside,"Summerside, Prince Edward Island",Canada,,,"CYSU/YSU - Summerside, Summerside, Prince Edward Island(Canada)"
CZJN,ZJN,Swan River,"Swan River, Manitoba",Canada,,,"CZJN/ZJN - Swan River, Swan River, Manitoba(Canada)"
CYYN,YYN,Swift Current,"Swift Current, Saskatchewan",Canada,,,"CYYN/YYN - Swift Current, Swift Current, Saskatchewan(Canada)"
CYQY,YQY,Sydney,"Sydney, Nova Scotia",Canada,,,"CYQY/YQY - Sydney, Sydney, Nova Scotia(Canada)"
CYBQ,XTL,Tadoule Lake,"Tadoule Lake, Manitoba",Canada,,,"CYBQ/XTL - Tadoule Lake, Tadoule Lake, Manitoba(Canada)"
CYYH,YYH,Taloyoak,"Taloyoak, Northwest Territories",Canada,,,"CYYH/YYH - Taloyoak, Taloyoak, Northwest Territories(Canada)"
CYTQ,YTQ,Tasiujaq,"Tasiujaq, Quebec",Canada,,,"CYTQ/YTQ - Tasiujaq, Tasiujaq, Quebec(Canada)"
CBM5,YTX,Telegraph Creek,"Telegraph Creek, British Columbia",Canada,,,"CBM5/YTX - Telegraph Creek, Telegraph Creek, British Columbia(Canada)"
CYTJ,YTJ,Terrace Bay,"Terrace Bay, Ontario",Canada,,,"CYTJ/YTJ - Terrace Bay, Terrace Bay, Ontario(Canada)"
CYXT,YXT,Terrace,"Terrace, British Columbia",Canada,,,"CYXT/YXT - Terrace, Terrace, British Columbia(Canada)"
CYZW,YZW,Teslin,"Teslin, Yukon Territory",Canada,,,"CYZW/YZW - Teslin, Teslin, Yukon Territory(Canada)"
CYGB,YGB,Gillies Bay,"Texada, British Columbia",Canada,,,"CYGB/YGB - Gillies Bay, Texada, British Columbia(Canada)"
CYQD,YQD,The Pas,"The Pas, Manitoba",Canada,,,"CYQD/YQD - The Pas, The Pas, Manitoba(Canada)"
CZLQ,YTD,Thicket Portage,"Thicket Portage, Manitoba",Canada,,,"CZLQ/YTD - Thicket Portage, Thicket Portage, Manitoba(Canada)"
CYTH,YTH,Thompson,"Thompson, Manitoba",Canada,,,"CYTH/YTH - Thompson, Thompson, Manitoba(Canada)"
CYQT,YQT,Thunder Bay,"Thunder Bay, Ontario",Canada,,,"CYQT/YQT - Thunder Bay, Thunder Bay, Ontario(Canada)"
CYTS,YTS,Timmins,"Timmins, Ontario",Canada,,,"CYTS/YTS - Timmins, Timmins, Ontario(Canada)"
CJY3,YTT,Tisdale,"Tisdale, Saskatchewan",Canada,,,"CJY3/YTT - Tisdale, Tisdale, Saskatchewan(Canada)"
CYAZ,YAZ,Tofino,"Tofino, British Columbia",Canada,,,"CYAZ/YAZ - Tofino, Tofino, British Columbia(Canada)"
CYYZ,YYZ,Toronto - Pearson Intl,"Toronto, Ontario",Canada,,,"CYYZ/YYZ - Toronto - Pearson Intl, Toronto, Ontario(Canada)"
CYTZ,YTZ,Toronto - City Centre,"Toronto, Ontario",Canada,,,"CYTZ/YTZ - Toronto - City Centre, Toronto, Ontario(Canada)"
CYKZ,YKZ,Toronto - Buttonville Mun,"Toronto, Ontario",Canada,,,"CYKZ/YKZ - Toronto - Buttonville Mun, Toronto, Ontario(Canada)"
CYTR,YTR,Trenton,"Trenton, Ontario",Canada,,,"CYTR/YTR - Trenton, Trenton, Ontario(Canada)"
CYRQ,YRQ,Trois-Rivieres,"Trois-Rivieres, Quebec",Canada,,,"CYRQ/YRQ - Trois-Rivieres, Trois-Rivieres, Quebec(Canada)"
CYUB,YUB,Tuktoyaktuk,"Tuktoyaktuk, Northwest Territories",Canada,,,"CYUB/YUB - Tuktoyaktuk, Tuktoyaktuk, Northwest Territories(Canada)"
CBX7,TUX,Tumbler Ridge,"Tumbler Ridge, British Columbia",Canada,,,"CBX7/TUX - Tumbler Ridge, Tumbler Ridge, British Columbia(Canada)"
CBX5,TNS,Cantung,"Tungsten, Northwest Territories",Canada,,,"CBX5/TNS - Cantung, Tungsten, Northwest Territories(Canada)"
CYMU,YUD,Umiujaq,"Umiujaq, Quebec",Canada,,,"CYMU/YUD - Umiujaq, Umiujaq, Quebec(Canada)"
CYBE,YBE,Uranium City,"Uranium City, Saskatchewan",Canada,,,"CYBE/YBE - Uranium City, Uranium City, Saskatchewan(Canada)"
CYVO,YVO,Val-D'or,"Val-D'or, Quebec",Canada,,,"CYVO/YVO - Val-D'or, Val-D'or, Quebec(Canada)"
CYVR,YVR,Vancouver Intl,"Vancouver, British Columbia",Canada,,,"CYVR/YVR - Vancouver Intl, Vancouver, British Columbia(Canada)"
CYVG,YVG,Vermilion,"Vermilion, Alberta",Canada,,,"CYVG/YVG - Vermilion, Vermilion, Alberta(Canada)"
CYVK,YVE,Vernon,"Vernon, British Columbia",Canada,,,"CYVK/YVE - Vernon, Vernon, British Columbia(Canada)"
CYYJ,YYJ,Victoria Intl,"Victoria, British Columbia",Canada,,,"CYYJ/YYJ - Victoria Intl, Victoria, British Columbia(Canada)"
CYWK,YWK,Wabush,"Wabush, Newfoundland",Canada,,,"CYWK/YWK - Wabush, Wabush, Newfoundland(Canada)"
CYKQ,YKQ,Waskaganish,"Waskaganish, Quebec",Canada,,,"CYKQ/YKQ - Waskaganish, Waskaganish, Quebec(Canada)"
CYQH,YQH,Watson Lake,"Watson Lake, Yukon Territory",Canada,,,"CYQH/YQH - Watson Lake, Watson Lake, Yukon Territory(Canada)"
CYXZ,YXZ,Wawa,"Wawa, Ontario",Canada,,,"CYXZ/YXZ - Wawa, Wawa, Ontario(Canada)"
