ICAO,IATA,Airport,Location,Country,,AIRPORT_ID,AIRPORT_DETAILS
FNBG,BUG,Benguela - 17th Of November,Benguela,Angola,,,"FNBG/BUG - Benguela - 17th Of November, Benguela(Angola)"
FNCA,CAB,Cabinda,Cabinda,Angola,,,"FNCA/CAB - Cabinda, Cabinda(Angola)"
FNHU,NOV,Albano Machado,Huambo,Angola,,,"FNHU/NOV - Albano Machado, Huambo(Angola)"
FNKU,SVP,Bie,Kuito,Angola,,,"FNKU/SVP - Bie, Kuito(Angola)"
FNLU,LAD,Luanda - 4th Of February,Luanda,Angola,,,"FNLU/LAD - Luanda - 4th Of February, Luanda(Angola)"
FNUB,SDD,Lubango,Lubango,Angola,,,"FNUB/SDD - Lubango, Lubango(Angola)"
FNUE,LUO,Luena,Luena,Angola,,,"FNUE/LUO - Luena, Luena(Angola)"
FNBC,SSY,M'banza Congo,M'banza Congo,Angola,,,"FNBC/SSY - M'banza Congo, M'banza Congo(Angola)"
FNMA,MEG,Malange,Malange,Angola,,,"FNMA/MEG - Malange, Malange(Angola)"
FNME,SPP,Menongue,Menongue,Angola,,,"FNME/SPP - Menongue, Menongue(Angola)"
FNGI,NGV,N'giva,N'giva,Angola,,,"FNGI/NGV - N'giva, N'giva(Angola)"
FNZE,ARZ,N'zeto,N'zeto,Angola,,,"FNZE/ARZ - N'zeto, N'zeto(Angola)"
FNNG,GXG,Negage,Negage,Angola,,,"FNNG/GXG - Negage, Negage(Angola)"
FNPA,PBN,Porto Amboim,Porto Amboim,Angola,,,"FNPA/PBN - Porto Amboim, Porto Amboim(Angola)"
FNSA,VHC,Saurimo,Saurimo,Angola,,,"FNSA/VHC - Saurimo, Saurimo(Angola)"
FNSO,SZA,Soyo,Soyo,Angola,,,"FNSO/SZA - Soyo, Soyo(Angola)"
FNUG,UGO,Uige,Uige,Angola,,,"FNUG/UGO - Uige, Uige(Angola)"
FNWK,CEO,Wako Kungo,Wako Kungo,Angola,,,"FNWK/CEO - Wako Kungo, Wako Kungo(Angola)"
FNXA,XGN,Xangongo,Xangongo,Angola,,,"FNXA/XGN - Xangongo, Xangongo(Angola)"
TQPF,AXA,Anguilla Wallblake,Anguilla,Anguilla,,,"TQPF/AXA - Anguilla Wallblake, Anguilla(Anguilla)"
TAPH,BBQ,Codrington Airport,"Codrington, Barbuda",Antigua and Barbuda,,,"TAPH/BBQ - Codrington Airport, Codrington, Barbuda(Antigua and Barbuda)"
TAPA,ANU,VC Bird Intl Airport,"Saint John's, Antigua",Antigua and Barbuda,,,"TAPA/ANU - VC Bird Intl Airport, Saint John's, Antigua(Antigua and Barbuda)"
SAVR,ARR,Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,,,"SAVR/ARR - Alto Rio Senguer Airport, Alto Rio Senguer(Argentina)"
SAZB,BHI,Comandante Espora Airport,Bahia Blanca,Argentina,,,"SAZB/BHI - Comandante Espora Airport, Bahia Blanca(Argentina)"
SAZS,BRC,San Carlos de Bariloche Intl Airport,Bariloche,Argentina,,,"SAZS/BRC - San Carlos de Bariloche Intl Airport, Bariloche(Argentina)"
SABE,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,,,"SABE/AEP - Aeroparque Jorge Newbery, Buenos Aires(Argentina)"
SANC,CTC,Coronel Felipe Varela Airport,Catamarca,Argentina,,,"SANC/CTC - Coronel Felipe Varela Airport, Catamarca(Argentina)"
SAVC,CRD,General Enrique Mosconi Airport,Comodoro Rivadavia,Argentina,,,"SAVC/CRD - General Enrique Mosconi Airport, Comodoro Rivadavia(Argentina)"
SACO,COR,Ingeniero Ambrosio L.V. Taravella Intl Airport,Cordoba,Argentina,,,"SACO/COR - Ingeniero Ambrosio L.V. Taravella Intl Airport, Cordoba(Argentina)"
SAVE,EQS,Esquel Airport,Esquel,Argentina,,,"SAVE/EQS - Esquel Airport, Esquel(Argentina)"
SAEZ,EZE,Ezeiza Intl Airport,Ezeiza,Argentina,,,"SAEZ/EZE - Ezeiza Intl Airport, Ezeiza(Argentina)"
SARF,FMA,Formosa Intl Airport,Formosa,Argentina,,,"SARF/FMA - Formosa Intl Airport, Formosa(Argentina)"
SAZG,GPO,General Pico Airport,General Pico,Argentina,,,"SAZG/GPO - General Pico Airport, General Pico(Argentina)"
SANL,IRJ,Capit,La Rioja,Argentina,,,"SANL/IRJ - Capit, La Rioja(Argentina)"
SAMM,LGS,Comodoro Ricardo Salomon Airport,Malarg,Argentina,,,"SAMM/LGS - Comodoro Ricardo Salomon Airport, Malarg(Argentina)"
SAZM,MDQ,Mar Del Plata Intl Airport,Mar del Plata,Argentina,,,"SAZM/MDQ - Mar Del Plata Intl Airport, Mar del Plata(Argentina)"
SAME,MDZ,El Plumerillo Intl Airport,Mendoza,Argentina,,,"SAME/MDZ - El Plumerillo Intl Airport, Mendoza(Argentina)"
SAAP,PRA,General Urquiza Airport,Parana,Argentina,,,"SAAP/PRA - General Urquiza Airport, Parana(Argentina)"
SARP,PSS,General Jose de San Martin Airport,Posadas,Argentina,,,"SARP/PSS - General Jose de San Martin Airport, Posadas(Argentina)"
SARI,IGR,Cataratas del Iguazu Intl Airport,Puerto Iguazu,Argentina,,,"SARI/IGR - Cataratas del Iguazu Intl Airport, Puerto Iguazu(Argentina)"
SAVY,PMY,El Tehuelche Airport,Puerto Madryn,Argentina,,,"SAVY/PMY - El Tehuelche Airport, Puerto Madryn(Argentina)"
SATR,RCQ,Daniel Jurkic Airport,Reconquista,Argentina,,,"SATR/RCQ - Daniel Jurkic Airport, Reconquista(Argentina)"
SARE,RES,Resistencia Intl Airport,Resistencia,Argentina,,,"SARE/RES - Resistencia Intl Airport, Resistencia(Argentina)"
SAOC,RCU,Las Higueras Airport,Rio Cuarto,Argentina,,,"SAOC/RCU - Las Higueras Airport, Rio Cuarto(Argentina)"
SAWG,RGL,Piloto Civil N. Fernandez Airport,Rio Gallegos,Argentina,,,"SAWG/RGL - Piloto Civil N. Fernandez Airport, Rio Gallegos(Argentina)"
SAWE,RGA,Hermes Quijada Airport,Rio Grande,Argentina,,,"SAWE/RGA - Hermes Quijada Airport, Rio Grande(Argentina)"
SAAR,ROS,Rosario Intl Airport,Rosario,Argentina,,,"SAAR/ROS - Rosario Intl Airport, Rosario(Argentina)"
SASA,SLA,El Aybal Airport,Salta,Argentina,,,"SASA/SLA - El Aybal Airport, Salta(Argentina)"
SADF,FDO,San Fernando Airport,San Fernando,Argentina,,,"SADF/FDO - San Fernando Airport, San Fernando(Argentina)"
SANU,UAQ,San Juan Airport,San Juan,Argentina,,,"SANU/UAQ - San Juan Airport, San Juan(Argentina)"
SAOU,LUQ,San Luis Airport,San Luis,Argentina,,,"SAOU/LUQ - San Luis Airport, San Luis(Argentina)"
SAMR,AFA,Suboficial Aytes Germano Airport,San Rafael,Argentina,,,"SAMR/AFA - Suboficial Aytes Germano Airport, San Rafael(Argentina)"
SAZR,RSA,Santa Rosa Airport,Santa Rosa,Argentina,,,"SAZR/RSA - Santa Rosa Airport, Santa Rosa(Argentina)"
SANE,SDE,Vicecomodoro Aragonez Airport,Santiago del Estero,Argentina,,,"SANE/SDE - Vicecomodoro Aragonez Airport, Santiago del Estero(Argentina)"
SANT,TUC,Benjamin Matienzo Intl Airport,Tucuman,Argentina,,,"SANT/TUC - Benjamin Matienzo Intl Airport, Tucuman(Argentina)"
SAWH,USH,Ushuaia Intl Airport,Ushuaia,Argentina,,,"SAWH/USH - Ushuaia Intl Airport, Ushuaia(Argentina)"
SAVV,VDM,Gobernador Castello Airport,Viedma,Argentina,,,"SAVV/VDM - Gobernador Castello Airport, Viedma(Argentina)"
SAOR,VME,Villa Reynolds Airport,Villa Reynolds,Argentina,,,"SAOR/VME - Villa Reynolds Airport, Villa Reynolds(Argentina)"
UGEE,EVN,Zvartnots,Yerevan,Armenia,,,"UGEE/EVN - Zvartnots, Yerevan(Armenia)"
TNCA,AUA,Queen Beatrix Intl Airport,Aruba,Aruba (Netherlands),,,"TNCA/AUA - Queen Beatrix Intl Airport, Aruba(Aruba (Netherlands))"
YPAD,ADL,Adelaide Intl Airport,Adelaide,Australia,,,"YPAD/ADL - Adelaide Intl Airport, Adelaide(Australia)"
YABA,ALH,Albany Airport,Albany,Australia,,,"YABA/ALH - Albany Airport, Albany(Australia)"
YMAY,ABX,Albury Airport,Albury,Australia,,,"YMAY/ABX - Albury Airport, Albury(Australia)"
YBAS,ASP,Alice Springs Airport,Alice Springs,Australia,,,"YBAS/ASP - Alice Springs Airport, Alice Springs(Australia)"
YAPH,ABH,Alpha Airport,Alpha,Australia,,,"YAPH/ABH - Alpha Airport, Alpha(Australia)"
YARA,ARY,Ararat Airport,Ararat,Australia,,,"YARA/ARY - Ararat Airport, Ararat(Australia)"
YARM,ARM,Armidale Airport,Armidale,Australia,,,"YARM/ARM - Armidale Airport, Armidale(Australia)"
YAVV,AVV,Avalon Airport,Avalon,Australia,,,"YAVV/AVV - Avalon Airport, Avalon(Australia)"
YBNS,BSJ,Bairnsdale Airport,Bairnsdale,Australia,,,"YBNS/BSJ - Bairnsdale Airport, Bairnsdale(Australia)"
YBNA,BNK,Ballina-Byron Gateway Airport,Ballina,Australia,,,"YBNA/BNK - Ballina-Byron Gateway Airport, Ballina(Australia)"
YBRN,BZD,Balranald Airport,Balranald,Australia,,,"YBRN/BZD - Balranald Airport, Balranald(Australia)"
YSBK,BWU,Bankstown Airport,Bankstown,Australia,,,"YSBK/BWU - Bankstown Airport, Bankstown(Australia)"
YBTH,BHS,Bathurst Airport,Bathurst,Australia,,,"YBTH/BHS - Bathurst Airport, Bathurst(Australia)"
YBTI,BRT,Bathurst Island Airport,Bathurst Island,Australia,,,"YBTI/BRT - Bathurst Island Airport, Bathurst Island(Australia)"
YBIE,BEU,Bedourie Airport,Bedourie,Australia,,,"YBIE/BEU - Bedourie Airport, Bedourie(Australia)"
YBLA,BLN,Benalla Airport,Benalla,Australia,,,"YBLA/BLN - Benalla Airport, Benalla(Australia)"
YBCK,BKQ,Blackall Airport,Blackall,Australia,,,"YBCK/BKQ - Blackall Airport, Blackall(Australia)"
YBTR,BLT,Blackwater Airport,Blackwater,Australia,,,"YBTR/BLT - Blackwater Airport, Blackwater(Australia)"
YBOU,BQL,Boulia Airport,Boulia,Australia,,,"YBOU/BQL - Boulia Airport, Boulia(Australia)"
YBKE,BRK,Bourke Airport,Bourke,Australia,,,"YBKE/BRK - Bourke Airport, Bourke(Australia)"
YBRW,BWQ,Brewarrina Airport,Brewarrina,Australia,,,"YBRW/BWQ - Brewarrina Airport, Brewarrina(Australia)"
YHOT,MHU,Mount Hotham Airport,Bright,Australia,,,"YHOT/MHU - Mount Hotham Airport, Bright(Australia)"
YBBN,BNE,Brisbane Airport,Brisbane,Australia,,,"YBBN/BNE - Brisbane Airport, Brisbane(Australia)"
YBHI,BHQ,Broken Hill Airport,Broken Hill,Australia,,,"YBHI/BHQ - Broken Hill Airport, Broken Hill(Australia)"
YBRM,BME,Broome Intl Airport,Broome,Australia,,,"YBRM/BME - Broome Intl Airport, Broome(Australia)"
YBUD,BDB,Bundaberg Airport,Bundaberg,Australia,,,"YBUD/BDB - Bundaberg Airport, Bundaberg(Australia)"
YWYY,BWT,Burnie Airport,Burnie,Australia,,,"YWYY/BWT - Burnie Airport, Burnie(Australia)"
YBLN,BQB,Busselton Regional Airport,Busselton,Australia,,,"YBLN/BQB - Busselton Regional Airport, Busselton(Australia)"
YBCS,CNS,Cairns Intl Airport,Cairns,Australia,,,"YBCS/CNS - Cairns Intl Airport, Cairns(Australia)"
YMHB,HBA,Hobart Intl Airport,Cambridge,Australia,,,"YMHB/HBA - Hobart Intl Airport, Cambridge(Australia)"
YSCN,CDU,Camden Airport,Camden,Australia,,,"YSCN/CDU - Camden Airport, Camden(Australia)"
YSCB,CBR,Canberra Intl Airport,Canberra,Australia,,,"YSCB/CBR - Canberra Intl Airport, Canberra(Australia)"
YCAR,CVQ,Carnarvon Airport,Carnarvon,Australia,,,"YCAR/CVQ - Carnarvon Airport, Carnarvon(Australia)"
YCDU,CED,Ceduna Airport,Ceduna,Australia,,,"YCDU/CED - Ceduna Airport, Ceduna(Australia)"
YBCV,CTL,Charleville Airport,Charleville,Australia,,,"YBCV/CTL - Charleville Airport, Charleville(Australia)"
YCCA,CCL,Chinchilla Airport,Chinchilla,Australia,,,"YCCA/CCL - Chinchilla Airport, Chinchilla(Australia)"
YPXM,XCH,Christmas Island Airport,Christmas Island,Australia,,,"YPXM/XCH - Christmas Island Airport, Christmas Island(Australia)"
YCMT,CMQ,Clermont Airport,Clermont,Australia,,,"YCMT/CMQ - Clermont Airport, Clermont(Australia)"
YCEE,CVC,Cleve Airport,Cleve,Australia,,,"YCEE/CVC - Cleve Airport, Cleve(Australia)"
YCCY,CNJ,Cloncurry Airport,Cloncurry,Australia,,,"YCCY/CNJ - Cloncurry Airport, Cloncurry(Australia)"
YCBA,CAZ,Cobar Airport,Cobar,Australia,,,"YCBA/CAZ - Cobar Airport, Cobar(Australia)"
YPCC,CCK,Cocos (Keeling) Island Intl Airport,Cocos (Keeling) Islands,Australia,,,"YPCC/CCK - Cocos (Keeling) Island Intl Airport, Cocos (Keeling) Islands(Australia)"
YCOE,CUQ,Coen Airport,Coen,Australia,,,"YCOE/CUQ - Coen Airport, Coen(Australia)"
YSCH,CFS,Coffs Harbour Airport,Coffs Harbour,Australia,,,"YSCH/CFS - Coffs Harbour Airport, Coffs Harbour(Australia)"
YCBR,CRB,Collarenebri Airport,Collarenebri,Australia,,,"YCBR/CRB - Collarenebri Airport, Collarenebri(Australia)"
YCBP,CPD,Coober Pedy Airport,Coober Pedy,Australia,,,"YCBP/CPD - Coober Pedy Airport, Coober Pedy(Australia)"
YBCG,OOL,Gold Coast Airport,Coolangatta,Australia,,,"YBCG/OOL - Gold Coast Airport, Coolangatta(Australia)"
YCOM,OOM,Cooma - Snowy Mountains Airport,Cooma,Australia,,,"YCOM/OOM - Cooma - Snowy Mountains Airport, Cooma(Australia)"
YCBB,COJ,Coonabarabran Airport,Coonabarabran,Australia,,,"YCBB/COJ - Coonabarabran Airport, Coonabarabran(Australia)"
YCNM,CNB,Coonamble Airport,Coonamble,Australia,,,"YCNM/CNB - Coonamble Airport, Coonamble(Australia)"
YCTM,CMD,Cootamundra Airport,Cootamundra,Australia,,,"YCTM/CMD - Cootamundra Airport, Cootamundra(Australia)"
